Epoch,not_aug_IoU :0.50 AP,not_aug_IoU :0.5:0.95 AP,not_aug_train_Classification_Loss,not_aug_train_Regression_Loss,not_aug_train_Total_Loss,not_aug_val_Classification_Loss,not_aug_val_Regression_Loss,not_aug_val_Total_Loss,not_aug_pretrain_train_Classification_Loss,not_aug_pretrain_train_Regression_Loss,not_aug_pretrain_train_Total_Loss,not_aug_pretrain_valid_Classification_Loss,not_aug_pretrain_valid_Regression_Loss,not_aug_pretrain_valid_Total_Loss,aug_1_IoU :0.50 AP,aug1_IoU :0.5:0.95 AP,aug1_train_Classification_Loss,aug1_train_Regression_Loss,aug1_train_Total_Loss,aug1_valid_Classification_Loss,aug1_valid_Regression_Loss,aug1_valid_Total_Loss,aug_2_IoU:0.50,aug2_IoU:0.50:0.95,aug2_train_Classification_Loss,aug2_train_Regression_Loss,aug2_train_Total_Loss,aug2_valid_Classification_Loss,aug2_valid_Regression_Loss,aug2_valid_Total_Loss,aug_3_IoU:0.50,aug3_IoU:0.5:0.95,aug3_train_Classification_Loss,aug3_train_Regression_Loss,aug3_train_Total_Loss,aug3_valid_Classification_Loss,aug3_valid_Regression_Loss,aug3_valid_Total_Loss
64,0.04,0.022,0.028843917,0.124813169,0.154764148,0.695113914,0.414504946,1.10961886,0.009360618,0.08654654,0.101192068,0.736863687,0.413492215,1.150355902,,,,,,,,,,,,,,,,,,,,,,,,
65,0.041,0.021,0.027065471,0.102476791,0.156233695,0.698438566,0.41680743,1.115245996,0.013002365,0.075220369,0.103601419,0.760288348,0.410818963,1.171107311,,,,,,,,,,,,,,,,,,,,,,,,
66,0.043,0.021,0.025751244,0.113503776,0.152340649,0.711100401,0.413405068,1.124505469,0.060254551,0.057803348,0.099005408,0.820430619,0.410241771,1.230672389,,,,,,,,,,,,,,,,,,,,,,,,
67,0.04,0.02,0.017521409,0.105156794,0.148322732,0.700583043,0.422133659,1.122716702,0.014595855,0.091247857,0.096925815,0.753907286,0.414611945,1.168519231,,,,,,,,,,,,,,,,,,,,,,,,
68,0.039,0.022,0.024150703,0.111583993,0.147559863,0.698434867,0.420529618,1.118964485,0.011729453,0.083013751,0.098569616,0.755915596,0.41103318,1.166948776,,,,,,,,,,,,,,,,,,,,,,,,
69,0.042,0.022,0.025787223,0.12514323,0.142318183,0.727503172,0.416846387,1.14434956,0.019374743,0.134610116,0.095410584,0.754681095,0.409855896,1.164536991,,,,,,,,,,,,,,,,,,,,,,,,
70,0.042,0.02,0.025307361,0.13479574,0.143055378,0.768069986,0.420777451,1.188847437,0.013539644,0.073533952,0.098734032,0.751298008,0.412830784,1.164128792,,,,,,,,,,,,,,,,,,,,,,,,
71,0.041,0.02,0.021378562,0.127550796,0.146837622,0.718936471,0.419582125,1.138518596,0.009044519,0.051953215,0.094148091,0.761552018,0.413396143,1.174948161,,,,,,,,,,,,,,,,,,,,,,,,
72,0.041,0.02,0.024586521,0.123732947,0.143561271,0.711396642,0.420843614,1.132240256,0.024444211,0.102005534,0.097133705,0.777605736,0.41757957,1.195185306,,,,,,,,,,,,,,,,,,,,,,,,
73,0.038,0.02,0.017897997,0.111989819,0.139620622,0.718777715,0.416038257,1.134815972,0.041492656,0.147333562,0.094712488,0.786141115,0.415061882,1.201202997,,,,,,,,,,,,,,,,,,,,,,,,
74,0.041,0.022,0.027816948,0.130507603,0.138591463,0.708327669,0.407277625,1.115605294,0.022974975,0.115486346,0.095313166,0.759465133,0.415733193,1.175198326,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04,0.021,0.024475621,0.118769713,0.138509089,0.73700667,0.42160897,1.15861564,0.009835628,0.074400842,0.093507675,0.768392109,0.409906611,1.17829872,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04,0.021,0.022913549,0.088308185,0.135277253,0.753421358,0.411132777,1.164554135,0.006829108,0.056272998,0.093556199,0.769258803,0.410156866,1.179415669,,,,,,,,,,,,,,,,,,,,,,,,
77,0.04,0.022,0.023978619,0.121673316,0.131910344,0.727089125,0.408364794,1.135453919,0.014238941,0.107991949,0.090782248,0.788019035,0.412023412,1.200042447,,,,,,,,,,,,,,,,,,,,,,,,
78,0.041,0.02,0.024838544,0.131258845,0.129146033,0.751887364,0.41163902,1.163526385,0.015380169,0.085392445,0.093528511,0.782787611,0.411194093,1.193981705,,,,,,,,,,,,,,,,,,,,,,,,
79,0.039,0.02,0.017602887,0.113069072,0.130242103,0.755341085,0.414291893,1.169632978,0.010584045,0.054597687,0.092805517,0.785514846,0.408679084,1.19419393,,,,,,,,,,,,,,,,,,,,,,,,
80,0.039,0.021,0.018832242,0.119622536,0.13366978,0.746030688,0.421297097,1.167327785,0.018919446,0.095238753,0.091675754,0.785928336,0.410099272,1.196027608,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04,0.022,0.03428781,0.132613957,0.127933991,0.763954464,0.407144107,1.171098571,0.017580701,0.098762423,0.092039075,0.764938241,0.414445294,1.179383535,,,,,,,,,,,,,,,,,,,,,,,,
82,0.043,0.02,0.026952824,0.129067913,0.128357402,0.76139164,0.406962836,1.168354475,0.007382565,0.082603648,0.090124127,0.777390962,0.413106121,1.190497082,,,,,,,,,,,,,,,,,,,,,,,,
83,0.041,0.022,0.031718854,0.169012785,0.130217551,0.778904305,0.410788159,1.189692464,0.012038728,0.080344401,0.091434294,0.782719231,0.412553995,1.195273225,,,,,,,,,,,,,,,,,,,,,,,,
84,0.041,0.023,0.015273104,0.084377378,0.124428975,0.794316059,0.411717075,1.206033134,0.008881189,0.064607307,0.090126349,0.779671733,0.413197412,1.192869146,,,,,,,,,,,,,,,,,,,,,,,,
85,0.043,0.023,0.020035129,0.114204958,0.122125791,0.775421736,0.419357538,1.194779274,0.003931703,0.041773789,0.090512725,0.785268428,0.411081817,1.196350245,,,,,,,,,,,,,,,,,,,,,,,,
86,0.044,0.022,0.012064339,0.105013669,0.119302378,0.805357769,0.411186727,1.216544496,0.007589382,0.050313827,0.092349212,0.778692454,0.411372421,1.190064875,,,,,,,,,,,,,,,,,,,,,,,,
87,0.041,0.02,0.041871928,0.1321747,0.119640421,0.864058468,0.421920798,1.285979266,0.005645832,0.047835514,0.090350729,0.800857041,0.413385546,1.214242587,,,,,,,,,,,,,,,,,,,,,,,,
88,0.038,0.022,0.044888336,0.173758537,0.115440306,0.802186939,0.414223549,1.216410488,0.009525832,0.044061761,0.088340196,0.785434103,0.413575701,1.199009804,,,,,,,,,,,,,,,,,,,,,,,,
89,0.041,0.02,0.015126327,0.056634452,0.115585136,0.798375412,0.41325653,1.211631942,0.032107193,0.124960586,0.09209663,0.775263817,0.413480871,1.188744688,,,,,,,,,,,,,,,,,,,,,,,,
90,0.041,0.021,0.010461772,0.090169162,0.114810711,0.810563763,0.405519116,1.216082879,0.007133553,0.07235308,0.090906209,0.781964618,0.413969591,1.195934209,,,,,,,,,,,,,,,,,,,,,,,,
91,0.04,0.022,0.013546805,0.102473006,0.112394278,0.794901078,0.411517445,1.206418523,0.010768,0.090301588,0.08896822,0.782526753,0.413145923,1.195672676,,,,,,,,,,,,,,,,,,,,,,,,
92,0.041,0.021,0.03439045,0.104316697,0.112290926,0.830323074,0.4045522,1.234875274,0.006242169,0.061800357,0.091651137,0.765999253,0.41300881,1.179008063,,,,,,,,,,,,,,,,,,,,,,,,
93,0.041,0.022,0.015408606,0.09376055,0.111009598,0.781844702,0.409396307,1.191241009,0.009465203,0.079443425,0.089068933,0.782295474,0.411806564,1.194102038,,,,,,,,,,,,,,,,,,,,,,,,
94,0.041,0.021,0.023997255,0.103434682,0.110055289,0.806248959,0.410089676,1.216338636,0.020107862,0.094201267,0.090568988,0.783213592,0.413967214,1.197180805,,,,,,,,,,,,,,,,,,,,,,,,
95,0.04,0.021,0.020831471,0.121682435,0.1154402,0.817003596,0.407266843,1.224270439,0.021861315,0.110996306,0.09049747,0.793771565,0.413582109,1.207353674,,,,,,,,,,,,,,,,,,,,,,,,
96,0.041,0.021,0.01077332,0.085604504,0.110492535,0.810471815,0.40607978,1.216551595,0.007880913,0.050084729,0.090951702,0.773816077,0.409777442,1.183593519,,,,,,,,,,,,,,,,,,,,,,,,
97,0.04,0.023,0.028847853,0.103906065,0.110125785,0.821208889,0.402412655,1.223621545,0.012231655,0.086544916,0.08906309,0.767209837,0.412353486,1.179563323,,,,,,,,,,,,,,,,,,,,,,,,
98,0.043,0.02,0.008062116,0.088025466,0.104849786,0.850505413,0.415693414,1.266198827,0.010176888,0.055986628,0.090028158,0.792719016,0.412521985,1.205241001,,,,,,,,,,,,,,,,,,,,,,,,
99,0.04,0.021,0.021388708,0.107226908,0.107176404,0.83587375,0.410517275,1.246391026,0.023828756,0.114894129,0.091260197,0.793937514,0.416447991,1.210385505,,,,,,,,,,,,,,,,,,,,,,,,
100,0.04,0.021,0.007056857,0.0578885,0.103193101,0.834016777,0.406229446,1.240246223,0.028333269,0.11214368,0.089567755,0.774770674,0.414793365,1.189564039,,,,,,,,,,,,,,,,,,,,,,,,
