Epoch,not_aug_IoU :0.50 AP,not_aug_IoU :0.5:0.95 AP,not_aug_train_Classification_Loss,not_aug_train_Regression_Loss,not_aug_train_Total_Loss,not_aug_val_Classification_Loss,not_aug_val_Regression_Loss,not_aug_val_Total_Loss,not_aug_pretrain_train_Classification_Loss,not_aug_pretrain_train_Regression_Loss,not_aug_pretrain_train_Total_Loss,not_aug_pretrain_valid_Classification_Loss,not_aug_pretrain_valid_Regression_Loss,not_aug_pretrain_valid_Total_Loss,aug_1_IoU :0.50 AP,aug1_IoU :0.5:0.95 AP,aug1_train_Classification_Loss,aug1_train_Regression_Loss,aug1_train_Total_Loss,aug1_valid_Classification_Loss,aug1_valid_Regression_Loss,aug1_valid_Total_Loss,aug_2_IoU:0.50,aug2_IoU:0.50:0.95,aug2_train_Classification_Loss,aug2_train_Regression_Loss,aug2_train_Total_Loss,aug2_valid_Classification_Loss,aug2_valid_Regression_Loss,aug2_valid_Total_Loss,aug_3_IoU:0.50,aug3_IoU:0.5:0.95,aug3_train_Classification_Loss,aug3_train_Regression_Loss,aug3_train_Total_Loss,aug3_valid_Classification_Loss,aug3_valid_Regression_Loss,aug3_valid_Total_Loss
13,0.025,0.01,0.352785587,0.396232188,0.540688406,0.516781203,0.496910409,1.013691611,0.094166882,0.168647707,0.273246006,0.527115809,0.436574688,0.963690497,0.034,0.017,0.113347635,0.211140126,0.422566727,0.446449422,0.438370339,0.88481976,0.035,0.017,0.166545838,0.215859085,0.392466238,0.446470726,0.443297204,0.88976793,0.025,0.011,0.159765273,0.202705741,0.358823594,0.538253858,0.480578882,1.01883274
14,0.024,0.012,0.289424896,0.359745681,0.510313671,0.460031112,0.470524336,0.930555448,0.11802727,0.281247616,0.268048698,0.569856406,0.437479461,1.007335868,0.035,0.017,0.120882034,0.190410927,0.401589201,0.445717236,0.42995158,0.875668815,0.036,0.018,0.108621553,0.228726417,0.370125717,0.455658392,0.427168167,0.882826558,0.027,0.011,0.229865462,0.070574552,0.345032494,0.547554058,0.468975617,1.016529675
15,0.026,0.012,0.209922463,0.342251867,0.492855897,0.456950489,0.468618058,0.925568547,0.077973843,0.19779636,0.258189277,0.535456762,0.433176506,0.968633268,0.036,0.017,0.142623514,0.254197329,0.377875332,0.461588941,0.439374518,0.90096346,0.035,0.017,0.13940686,0.219229445,0.350519677,0.499756353,0.431432267,0.931188621,0.025,0.01,0.140694827,0.219739795,0.320495015,0.577203286,0.462608023,1.039811308
16,0.026,0.011,0.198845327,0.389891624,0.4758876,0.430416428,0.493052896,0.923469325,0.060158446,0.149427608,0.262992818,0.538406558,0.43638927,0.974795828,0.041,0.02,0.08108902,0.149446264,0.365462705,0.445885578,0.428738019,0.874623598,0.037,0.017,0.115153685,0.213541836,0.325458081,0.483669857,0.444784023,0.92845388,0.027,0.012,0.138162822,0.050641492,0.309724904,0.488944131,0.465304888,0.954249019
17,0.027,0.012,0.151362151,0.222735927,0.45091238,0.436530106,0.477453403,0.91398351,0.06178223,0.173225701,0.248225846,0.517674328,0.434442073,0.952116401,0.039,0.019,0.111704662,0.172289431,0.348107224,0.427512974,0.430327748,0.857840722,0.036,0.017,0.122183293,0.248232991,0.312459057,0.483739387,0.433054665,0.916794053,0.029,0.013,0.362233311,0.043558329,0.307255377,0.505017587,0.462226822,0.967244409
18,0.029,0.013,0.239636689,0.316616356,0.442697681,0.470697918,0.46093894,0.931636858,0.068733871,0.18867752,0.243814686,0.565758103,0.436424192,1.002182295,0.038,0.019,0.085256264,0.142607883,0.32639519,0.474956874,0.427156193,0.902113067,0.038,0.019,0.131277174,0.216994286,0.295358982,0.552924579,0.426696391,0.97962097,0.029,0.012,0.234816432,0.352633089,0.293887797,0.461318598,0.467154642,0.92847324
19,0.029,0.014,0.190621555,0.32824564,0.431571848,0.446664567,0.460792302,0.907456869,0.081295446,0.240396231,0.24387266,0.559192462,0.431160747,0.990353209,0.041,0.022,0.186691016,0.274369121,0.313962717,0.481136133,0.421804122,0.902940255,0.036,0.018,0.121871479,0.267383069,0.285839052,0.509985401,0.423558614,0.933544015,0.031,0.013,0.073435336,0.065675862,0.273978761,0.477222661,0.450141822,0.927364483
20,0.032,0.015,0.172994852,0.284212232,0.410287794,0.432835864,0.457329504,0.890165369,0.097649232,0.235107705,0.236946682,0.566772388,0.434348401,1.001120789,0.037,0.019,0.136238128,0.204080462,0.305306007,0.54653758,0.435593432,0.982131013,0.04,0.019,0.056764666,0.140201628,0.274821841,0.535420145,0.418868459,0.954288605,0.032,0.014,0.095628075,0.158086747,0.271721012,0.502369232,0.447016652,0.949385884
21,0.034,0.014,0.112752825,0.185564578,0.39664535,0.450899504,0.461334279,0.912233783,0.094934076,0.316786796,0.232847154,0.576655928,0.449565443,1.026221371,0.041,0.022,0.094594881,0.196747184,0.294260423,0.479246438,0.421884956,0.901131395,0.04,0.019,0.064256176,0.155362129,0.265467509,0.529285825,0.416115775,0.945401601,0.032,0.015,0.09206865,0.132407725,0.263475277,0.486447847,0.456747593,0.94319544
22,0.03,0.014,0.140277058,0.311100483,0.379535625,0.463532522,0.482575345,0.946107867,0.07716313,0.194378078,0.228068694,0.574961317,0.427963247,1.002924564,0.041,0.021,0.069062412,0.130596608,0.278419829,0.494764231,0.41101431,0.90577854,0.039,0.02,0.062298905,0.178082258,0.254265563,0.553405201,0.412315784,0.965720985,0.033,0.014,0.011805591,0.018231949,0.250231431,0.479744545,0.443257478,0.923002024
23,0.031,0.016,0.115489371,0.226271212,0.367479563,0.457108624,0.445269103,0.902377727,0.049952939,0.207065016,0.222160809,0.559757174,0.426467404,0.986224579,0.038,0.019,0.044651162,0.119420141,0.270748646,0.490701597,0.412505702,0.903207299,0.039,0.019,0.063558877,0.1562462,0.243522445,0.568191066,0.419189227,0.987380292,0.029,0.013,0.070286892,0.09110111,0.249280706,0.510022522,0.450344688,0.96036721
24,0.035,0.015,0.096205056,0.162065655,0.35324638,0.473235615,0.447070975,0.920306591,0.068273574,0.182119519,0.215490678,0.582633139,0.424311388,1.006944526,0.043,0.022,0.056645237,0.157597601,0.260920861,0.512086987,0.418967648,0.931054635,0.045,0.02,0.045178443,0.119492538,0.234570339,0.564864357,0.419682262,0.984546618,0.03,0.014,0.066928551,0.137767255,0.257380939,0.489925967,0.446208098,0.936134065
25,0.032,0.016,0.155465841,0.342232376,0.348436837,0.509056023,0.447216256,0.956272279,0.078465834,0.24470748,0.212187258,0.587715893,0.441118494,1.028834387,0.044,0.022,0.076289922,0.148450196,0.255018267,0.513979913,0.411909025,0.925888938,0.041,0.019,0.057990722,0.148597091,0.227767121,0.535522746,0.412492951,0.948015697,0.034,0.016,0.290271163,0.191100121,0.235445971,0.571818582,0.448322089,1.020140671
26,0.034,0.016,0.105356701,0.189542189,0.329662796,0.482738312,0.439687607,0.922425919,0.047409549,0.16606462,0.210685156,0.604959438,0.437927601,1.042887039,0.04,0.021,0.100206122,0.250704706,0.247174373,0.526344969,0.409729667,0.936074637,0.039,0.02,0.061542071,0.141058445,0.222864815,0.590677294,0.413831464,1.004508758,0.034,0.015,0.088470057,0.194458097,0.217818518,0.488012183,0.448651301,0.936663484
27,0.036,0.017,0.19419089,0.280954301,0.32444125,0.495195084,0.445165396,0.94036048,0.059213411,0.15436247,0.202492256,0.642903479,0.422044021,1.0649475,0.04,0.022,0.126346022,0.250443161,0.235959215,0.559184304,0.406021235,0.965205539,0.042,0.019,0.062364548,0.172128543,0.21519382,0.596955901,0.415372101,1.012328002,0.034,0.015,0.070392504,0.131860912,0.232368425,0.525564151,0.440206245,0.965770397
28,0.036,0.016,0.061320931,0.102892086,0.312400573,0.52060699,0.439407527,0.960014518,0.027561162,0.102245234,0.201741982,0.591906375,0.424669944,1.016576319,0.042,0.022,0.040165648,0.147832632,0.228391968,0.520405873,0.410334971,0.930740844,0.04,0.02,0.093731716,0.221199334,0.204009807,0.657290326,0.414609168,1.071899494,0.037,0.017,0.190638497,0.238567993,0.227201038,0.555901309,0.434994944,0.990896254
29,0.034,0.016,0.066802412,0.164322078,0.302155875,0.500479551,0.440233294,0.940712845,0.026940593,0.115645468,0.197626514,0.62364783,0.426401343,1.050049174,0.044,0.023,0.066139199,0.147112876,0.224307551,0.603047403,0.410103959,1.013151362,0.04,0.019,0.061397739,0.211860433,0.198172525,0.632606244,0.40979035,1.042396594,0.033,0.015,0.041911595,0.057060502,0.204247726,0.572977377,0.431809219,1.004786596
30,0.036,0.017,0.088492379,0.197176665,0.294504899,0.492923282,0.441705191,0.934628474,0.043646447,0.121895283,0.195665164,0.6278451,0.420233516,1.048078616,0.043,0.022,0.031526849,0.107036844,0.220300867,0.540726976,0.405497971,0.946224947,0.041,0.02,0.029642275,0.090379819,0.191022705,0.640417942,0.41019186,1.050609802,0.034,0.016,0.130060792,0.116092324,0.196358127,0.565498321,0.435138096,1.000636417
31,0.037,0.018,0.10335099,0.199847475,0.295955401,0.512453244,0.435553806,0.94800705,0.043283157,0.130187869,0.187728283,0.610936638,0.416119564,1.027056202,0.045,0.024,0.066734768,0.178542793,0.209439415,0.546259029,0.409147824,0.955406853,0.041,0.021,0.032731574,0.140766323,0.186487104,0.635843114,0.404672235,1.04051535,0.033,0.016,0.045997322,0.134191394,0.191600186,0.537384123,0.44014995,0.977534072
32,0.038,0.016,0.077576816,0.147753507,0.279648262,0.537157872,0.436179434,0.973337306,0.041114919,0.171912327,0.181252922,0.62780458,0.429104961,1.056909541,0.045,0.024,0.158100262,0.314542592,0.204641209,0.542701122,0.409112198,0.95181332,0.041,0.021,0.06073381,0.162067413,0.182586137,0.711076139,0.410605642,1.121681781,0.037,0.016,0.074377798,0.082690746,0.195080386,0.518946249,0.441877471,0.960823721
33,0.035,0.017,0.055200566,0.145375893,0.269218056,0.519506378,0.434544008,0.954050385,0.053962044,0.165912032,0.181738216,0.645639488,0.423511876,1.069151363,0.043,0.023,0.039824892,0.153437093,0.198644812,0.567446789,0.408162252,0.97560904,0.04,0.02,0.064005598,0.188769877,0.178157055,0.672759023,0.408793168,1.081552191,0.035,0.016,0.100726053,0.130281195,0.185003362,0.507644887,0.431336188,0.938981075
34,0.037,0.017,0.083251499,0.17530638,0.270915469,0.537450385,0.461605026,0.999055411,0.033337355,0.141697556,0.181177323,0.627056984,0.420078055,1.047135038,0.046,0.025,0.047224887,0.171880186,0.198488821,0.565211329,0.400719136,0.965930465,0.038,0.02,0.025297411,0.089487232,0.172296043,0.658346797,0.411260117,1.069606915,0.038,0.017,0.033999637,0.085825399,0.180731101,0.543229449,0.436485195,0.979714644
35,0.038,0.018,0.108914882,0.213181466,0.266712765,0.527930344,0.436928177,0.964858521,0.058134995,0.106955498,0.176865364,0.657447928,0.418765945,1.076213874,0.042,0.023,0.062404893,0.167218745,0.190986272,0.568961878,0.40814432,0.977106198,0.04,0.021,0.020938264,0.128813371,0.170201116,0.714533628,0.404615885,1.119149513,0.037,0.017,0.052827924,0.133022308,0.196673882,0.520358115,0.428316715,0.94867483
36,0.039,0.017,0.061534166,0.183097422,0.250119935,0.527885002,0.449969687,0.977854689,0.044851147,0.156455785,0.180762436,0.616567742,0.420346544,1.036914286,0.044,0.024,0.040583901,0.132778704,0.186675052,0.57020941,0.405549544,0.975758954,0.04,0.021,0.038776677,0.150808141,0.162897962,0.706737798,0.424692327,1.131430125,0.035,0.016,0.018072061,0.040761773,0.17267498,0.542359436,0.427054719,0.969414154
37,0.038,0.018,0.063269652,0.147984684,0.249242025,0.572172145,0.435420398,1.007592542,0.033371046,0.142558113,0.176968208,0.609879247,0.418791052,1.028670299,0.045,0.025,0.045041252,0.1528496,0.180527384,0.57796141,0.396376469,0.974337879,0.045,0.023,0.03035011,0.123058505,0.162449859,0.850841659,0.397553244,1.248394904,0.038,0.018,0.09275347,0.145356566,0.175330356,0.5513679,0.424371296,0.975739197
38,0.038,0.019,0.042339481,0.152145356,0.242342099,0.577936538,0.439591846,1.017528385,0.028964659,0.142648622,0.175187042,0.643013898,0.41563431,1.058648208,0.042,0.024,0.030305281,0.121612228,0.177740527,0.586228971,0.394214849,0.98044382,0.044,0.023,0.030082025,0.108189471,0.153837531,0.7336369,0.408138595,1.141775495,0.038,0.017,0.044936754,0.096369803,0.164547016,0.533513182,0.428768723,0.962281905
39,0.039,0.018,0.041899309,0.149790883,0.236463567,0.575304686,0.442200845,1.017505531,0.022634033,0.120533764,0.171718631,0.67825827,0.414938304,1.093196574,0.044,0.024,0.025282241,0.091283269,0.17014872,0.654059123,0.399880664,1.053939787,0.041,0.021,0.00858466,0.079773352,0.153677434,0.805010039,0.401112756,1.206122794,0.038,0.018,0.028440706,0.082673311,0.163657604,0.555979426,0.428324178,0.984303604
