no_aug_IoU:0.5,no_aug_IoU:0.5:0.95,no_aug_Average of Classification_Loss,no_aug_Average of Regression_Loss,no_aug_Average of Running_Loss,aug1_IoU :0.5,aug1_IoU:0.5:0.95,aug1_Average of Running_Loss,aug1_Average of Regression_Loss,aug1_Average of Classification_Loss,aug2_IoU:0.5,aug2_IoU:0.5:0.95,aug2_Average of Classification_Loss,aug2_Average of Regression_Loss,aug2_Average of Running_Loss,aug3_IoU 0.50,aug3_IoU 0.5:0.95 area all,aug3_Average of Classification_Loss,aug3_Average of Regression_Loss,aug3_Average of Running_Loss,"aug(3,4)_IoU:0.5","aug(3,4)_IoU 0.5:0.95","aug(3,4)_Average of Running_Loss","aug(3,4)_Average of Classification_Loss","aug(3,4)_Average of Regression_Loss","aug(3,5)_IoU:0.5","aug(3,5)_IoU :0.5:0.95","aug(3,5)_IoU_Average of Regression_Loss","aug(3,5)_IoU_Average of Classification_Loss","aug(3,5)_IoU_Average of Running_Loss"
0.17,0.09,0.086543277,0.21261514,0.337753045,0.193,0.107,0.260027713,0.190563828,0.048738871,0.194,0.105,0.03863171,0.151756139,0.254186114,0.152,0.079,0.844802613,0.20276849,0.400436087,0.221,0.13,0.120820022,0.000637907,0.067748448,0.192,0.113,0.093072698,0.011737468,0.126782902
0.179,0.098,0.052544894,0.186916254,0.314594336,0.198,0.111,0.239720542,0.168034095,0.046026448,0.204,0.118,0.043488746,0.169561312,0.24023451,0.153,0.08,0.139683927,0.322068615,0.376591827,0.213,0.126,0.109734063,0.019052787,0.08264786,0.219,0.127,0.070476295,0.01757745,0.120842157
0.187,0.104,0.06783665,0.186865807,0.298012568,0.193,0.111,0.225493066,0.201161034,0.062427267,0.199,0.113,0.03506949,0.156772584,0.227545366,0.153,0.082,0.060635913,0.240520954,0.358772871,0.207,0.119,0.105066138,0.006195771,0.085354703,0.221,0.13,0.110378436,0.01440567,0.114196521
0.187,0.104,0.05178358,0.175757483,0.28108939,0.197,0.11,0.210472303,0.134780208,0.029131288,0.193,0.109,0.063980142,0.20833705,0.211811561,0.164,0.087,0.079422411,0.158043558,0.33725446,0.218,0.127,0.106019567,0.015037132,0.109587488,,,0.052557774,0.033858087,0.110791941
0.183,0.102,0.054045124,0.157852713,0.264138025,0.199,0.11,0.197367949,0.143149095,0.017577373,0.203,0.117,0.056640659,0.177709376,0.200386315,0.177,0.094,0.058004222,0.187225571,0.317018041,0.208,0.121,0.099144471,0.013525312,0.110324617,,,,,
0.193,0.1,0.050901437,0.177365378,0.246793778,0.204,0.116,0.188967959,0.11923017,0.017140233,0.194,0.11,0.046610414,0.176910413,0.188779573,0.173,0.094,0.103209816,0.178413833,0.292517459,0.22,0.131,0.090714967,0.022340198,0.108304435,,,,,
0.195,0.108,0.024192096,0.134302348,0.233403877,0.194,0.112,0.178704447,0.112945152,0.021234086,0.2,0.117,0.025986348,0.112880142,0.179403123,0.171,0.09,0.065199628,0.173317701,0.280161084,0.219,0.131,0.090072945,0.024374235,0.129795393,,,,,
0.194,0.109,0.046112764,0.181170091,0.220075964,0.198,0.112,0.169406835,0.101920694,0.014254813,0.204,0.114,0.019053855,0.163520373,0.166389968,0.183,0.1,0.048859598,0.186729184,0.273065181,0.213,0.127,0.085482452,0.014377969,0.092893907,,,,,
0.198,0.112,0.020386145,0.132704172,0.20785412,0.201,0.112,0.161413763,0.105714124,0.020266404,0.199,0.113,0.01371596,0.111946659,0.161883208,0.191,0.102,0.05703013,0.171535062,0.259497686,0.213,0.124,0.082415638,0.003302356,0.065197152,,,,,
0.188,0.104,0.019995477,0.139897801,0.197441872,0.206,0.117,0.156591461,0.105157869,0.016396042,0.203,0.114,0.014740305,0.104841391,0.155761191,0.183,0.099,0.062453839,0.159769146,0.241820994,0.213,0.126,0.080363522,0.009388688,0.088024791,,,,,
0.201,0.111,0.025825806,0.139056534,0.188451003,0.196,0.112,0.150766383,0.118045608,0.013814616,0.193,0.11,0.008647567,0.102781275,0.151222244,0.173,0.094,0.059205794,0.153486683,0.226191671,0.216,0.129,0.076517663,0.012815517,0.098564734,,,,,
0.182,0.103,0.017351994,0.12329711,0.183780089,0.201,0.114,0.144736249,0.118961351,0.019849558,0.206,0.116,0.015818267,0.121922433,0.142623714,0.183,0.099,0.077544125,0.188597851,0.217761261,0.216,0.129,0.073147455,0.00919003,0.099172451,,,,,
0.202,0.113,0.054788668,0.19576814,0.176369499,0.196,0.11,0.13712852,0.120332912,0.01804733,0.197,0.114,0.012988124,0.1228429,0.134789755,0.187,0.102,0.101044799,0.163934628,0.207368981,0.196,0.12,0.069771474,0.006845867,0.08974801,,,,,
0.19,0.105,0.01361917,0.154721793,0.170834458,0.193,0.107,0.133849901,0.125308832,0.019574957,0.207,0.123,0.010957173,0.116450654,0.131963002,0.162,0.089,0.088146742,0.111287167,0.200691673,,,,,,,,,,
0.194,0.108,0.022916153,0.128632847,0.162085057,0.199,0.114,0.129550781,0.094158093,0.009232999,0.2,0.117,0.011380145,0.126418749,0.126784098,0.179,0.099,0.049011203,0.216350265,0.198507572,,,,,,,,,,
0.196,0.113,0.009602209,0.107051745,0.15641748,0.204,0.117,0.125952005,0.079317842,0.007724033,0.2,0.12,0.005799339,0.094452638,0.122313785,0.17,0.091,0.032914782,0.108152681,0.194366904,,,,,,,,,,
0.185,0.106,0.027207511,0.182118133,0.149844592,0.184,0.104,0.12062431,0.112072771,0.005603094,0.21,0.123,0.005715103,0.095347395,0.117711816,0.192,0.107,0.03731756,0.133927582,0.188023972,,,,,,,,,,
0.169,0.095,0.012755455,0.104466774,0.142071725,0.202,0.116,0.117166218,0.102968233,0.008979428,0.201,0.118,0.012109142,0.098497583,0.116550781,0.19,0.105,0.071085774,0.167971365,0.176010361,,,,,,,,,,
0.191,0.108,0.026948435,0.094987962,0.137990226,0.199,0.115,0.113954386,0.105531218,0.011701232,0.18,0.105,0.010615501,0.086383821,0.118329406,0.186,0.1,0.077799391,0.143176183,0.16849622,,,,,,,,,,
0.184,0.103,0.019571272,0.11219776,0.135205027,0.189,0.109,0.111461957,0.09056161,0.013387944,0.195,0.115,0.010670024,0.0834634,0.118331926,0.182,0.102,0.027183798,0.133799972,0.164305726,,,,,,,,,,
0.191,0.106,0.00781755,0.083774928,0.132070229,0.186,0.106,0.112493163,0.093728196,0.012652844,0.208,0.124,0.006118213,0.087451482,0.112499575,0.194,0.108,0.056462044,0.114455866,0.160975042,,,,,,,,,,
0.187,0.104,0.012549254,0.118140928,0.128988255,0.198,0.114,0.114045816,0.073665619,0.007026597,0.209,0.124,0.003381888,0.064057576,0.094512991,0.191,0.105,0.049926577,0.108646415,0.157924202,,,,,,,,,,
0.19,0.106,0.00648048,0.080828618,0.1257322,0.208,0.117,0.113379963,0.087728944,0.008517488,0.21,0.126,0.001267348,0.041524313,0.074267116,0.154,0.084,0.034400767,0.12702763,0.151899577,,,,,,,,,,
0.201,0.117,0.006108294,0.096083395,0.12364865,0.189,0.107,0.104480986,0.128039544,0.013101602,0.212,0.126,0.00154932,0.037949945,0.056564904,0.195,0.108,0.01854968,0.1178497,0.150857969,,,,,,,,,,
0.194,0.113,0.00296567,0.07796796,0.119165636,0.196,0.114,0.099798517,0.079542272,0.010161069,0.212,0.127,0.002686668,0.052123936,0.047867633,0.189,0.106,0.017961726,0.118654665,0.154569906,,,,,,,,,,
0.199,0.115,0.005308097,0.086554479,0.115020012,0.201,0.118,0.094922567,0.136135826,0.020211494,0.21,0.125,0.002109831,0.053055554,0.04163631,0.21,0.118,0.008119691,0.080768199,0.168308604,,,,,,,,,,
0.195,0.114,0.008998715,0.124500737,0.110481007,0.2,0.115,0.094547892,0.067246944,0.002603228,0.213,0.127,0.000797336,0.024390035,0.037279293,0.209,0.117,0.024643606,0.090196684,0.148171146,,,,,,,,,,
0.191,0.111,0.005429884,0.117551327,0.108222685,0.195,0.114,0.091130585,0.084150482,0.002885082,0.209,0.125,0.000611619,0.022908212,0.034306888,0.208,0.117,0.031480796,0.079243304,0.120134263,,,,,,,,,,
0.193,0.111,0.012339345,0.122991771,0.105092262,0.202,0.117,0.089748109,0.097466698,0.008432699,0.21,0.125,0.000503532,0.021049962,0.031943479,0.207,0.118,0.009849859,0.073976383,0.081160459,,,,,,,,,,
0.198,0.116,0.012265974,0.110110227,0.100940185,0.191,0.113,0.085990026,0.128793489,0.011610079,0.209,0.125,0.000625991,0.015956491,0.0299963,0.208,0.118,0.003122442,0.036732065,0.070299453,,,,,,,,,,
0.203,0.117,0.003980767,0.098799378,0.098836859,0.203,0.116,0.083837487,0.083651572,0.00258067,0.21,0.125,0.001563467,0.025049935,0.028633846,0.205,0.115,0.009094378,0.065353902,0.06279346,,,,,,,,,,
0.19,0.104,0.004843515,0.082163304,0.097374164,0.194,0.113,0.083526678,0.0759914,0.002547641,0.209,0.124,0.000733637,0.031005124,0.027340154,0.21,0.119,0.017974875,0.024326688,0.057172342,,,,,,,,,,
0.192,0.11,0.009505446,0.0996828,0.096699676,0.189,0.111,0.083855295,0.07899984,0.00574538,0.209,0.124,0.003282403,0.042174611,0.026245826,0.209,0.118,0.001409883,0.028722761,0.052850819,,,,,,,,,,
